Speaker	Total Word Count	Proportion of Word Count
MONTESINOS	107273	44.66%
DESCONOCIDO	38798	16.15%
ALEX KOURI	9550	3.98%
DELGADO PARKER	8468	3.53%
ARANCIBIA	5826	2.43%
VIDAL	5324	2.22%
PERCOVICH	4459	1.86%
SILVA	4154	1.73%
SCHüTZ	3679	1.53%
GARCIA	3263	1.36%
BURNET	3245	1.35%
RICKETTS	3105	1.29%
BURNEI	3060	1.27%
GUILLEN	2975	1.24%
LUPIS	2966	1.23%
LEWIS	2952	1.23%
TUDELA	2799	1.17%
PALERMO	2742	1.14%
CALMELL	2689	1.12%
VERA ABAD	2495	1.04%
ALVA	1892	0.79%
COSTA	1783	0.74%
AMERICANO	1708	0.71%
JOY WAY	1658	0.69%
IBÁRCENA	1622	0.68%
MACCAFFREY	1567	0.65%
FUJIMORI	1559	0.65%
PEREZ	1446	0.60%
ALBERTO KOURI	1406	0.59%
CHIRINOS	799	0.33%
JETT	779	0.32%
DE LOPEZ	714	0.30%
HERMOZA	601	0.25%
MOROTE	535	0.22%
PANTOJA	350	0.15%
CROUSILLAT	335	0.14%
IVACHINE	291	0.12%
ARCE	262	0.11%
SAUCEDO SANCHEZ	247	0.10%
VILLANUEVA RUESTA	232	0.10%
LOCUTOR	161	0.07%
GENERAL DELGADO	77	0.03%
AYBAR	74	0.03%
MALEA	53	0.02%
CENEPO	47	0.02%
DOUFOUR	42	0.02%
PANDOLFI	40	0.02%
SMITH	40	0.02%
BELLO VASQUEZ	24	0.01%
DIANDERAS	17	0.01%
VILLAREAL	12	0.00%
GONZALES	7	0.00%
LOPEZ	6	0.00%
MANUEL LOPEZ	5	0.00%
FRANCISCO KOURI	4	0.00%
VERA	2	0.00%
