Topic,Average Conversation Word Count,Montesinos Average Word Count
topic_ecuador,7930.6,4662.2
topic_lucchetti_factory,9763.2,5768.8
topic_municipal98,18591.5,4182.5
topic_reelection,10202.611111111111,6024.833333333333
topic_miraflores,7773.333333333333,5676.666666666667
topic_canal4,10691.42857142857,5475.857142857143
topic_media,10902.9,4470.2
topic_promotions,9381.333333333334,5640.166666666667
topic_ivcher,11129.4,2536.4
topic_foreign,7919.75,4357.25
topic_wiese,11050.333333333334,5826.333333333333
topic_public_officials,7249.0,4507.0
topic_safety,10788.777777777777,7094.222222222223
topic_state_capture,10554.25,6962.375
